Entity,Year,Alcohol,Animal Fats,Vegetable Oils,Oilcrops,Seafood,Sugar,Starchy Roots,Lamb and Goat,Pork,Poultry,Beef,Eggs,Milk,Nuts,Fruit,Vegetables,Pulses,Barley,Maize,Rice,Wheat
Afghanistan,2015,0.019953761,32.74412,150.98013,4.63925,0.45893654,155.02078,24.553104,25.131763,0.14965323,7.3928685,21.33057,6.4251113,104.35817,5.527192,57.267296,31.05803,22.38812,13.339089,13.2592745,194.49928,1368.5088
Afghanistan,2016,1.3175521,32.958763,172.53943,6.118632,0.49907273,112.600784,26.500761,25.302988,0.059888724,7.5260167,18.365875,6.118632,101.40159,7.645794,54.878036,52.781933,24.514452,5.749318,15.241681,155.25154,1399.9988
Afghanistan,2017,0.01997452,29.901857,163.97083,17.008305,0.73905724,144.81528,40.618187,23.539972,0.11984712,6.771363,16.349146,6.3618846,99.54302,8.139617,64.65752,45.292225,27.425014,12.68382,8.848712,174.00803,1403.3298
Afghanistan,2018,0.049923502,29.964087,176.38972,25.680649,0.7588372,164.09856,41.42652,22.805056,0.1897093,5.50157,14.897173,5.5115547,97.051285,11.332635,59.948143,28.935661,25.83042,1.667445,12.840324,159.11618,1363.251
Afghanistan,2019,0.07981705,29.033453,187.86938,17.050919,0.7283306,155.33397,46.61316,17.629591,0.19954263,6.834335,15.384737,3.262522,90.02366,12.840569,63.504444,41.983772,16.791512,0.528788,29.18311,132.90538,1343.8499
Afghanistan,2020,0.08977724,28.73869,179.48463,17.666164,0.9177229,154.05774,38.474533,21.207378,0.3291832,6.194629,17.88562,10.513911,87.891914,11.262055,63.243076,55.222977,23.541586,0.7680941,21.89567,160.06284,1348.1349
Afghanistan,2021,0.06014865,28.680882,192.17493,2.9172096,0.8521059,130.39226,39.78833,19.85908,0.10024775,5.734171,12.89186,9.994701,88.55886,18.515759,63.416725,44.37968,24.90154,0.31076804,42.78574,193.48817,1304.0127
Afghanistan,2022,0,29.828869,219.33289,16.32834,0.84124905,86.14188,44.95108,19.156153,0.030406592,3.3345897,11.3720665,2.5034761,86.42567,21.335293,57.133987,40.552258,27.183495,0.5270476,46.24843,205.08234,1335.032
Albania,2015,58.940605,68.32814,274.27716,24.612452,17.53202,195.64662,83.493385,46.062576,40.66275,44.78969,76.89029,58.572662,620.1045,35.451874,276.2462,186.28891,53.620335,0.9049427,18.11874,66.36909,1010.75134
Albania,2016,58.967075,65.638275,265.1878,37.621212,17.448526,194.81703,81.68496,46.161545,40.832535,51.69934,77.38,59.315052,655.1002,32.401566,296.16763,199.7384,45.952763,1.1731772,16.931534,65.419556,984.6736
Albania,2017,56.838142,66.21679,275.52737,37.494698,16.949112,194.61674,82.36116,46.08847,46.396458,43.93258,77.05587,56.937492,673.5732,33.997578,281.30957,209.52917,46.0686,1.2816151,19.899809,65.55114,964.7681
Albania,2018,58.461086,59.723553,280.75436,39.782566,19.056265,196.80539,83.113945,54.325768,34.166084,35.71683,75.15147,59.31598,664.0368,34.603477,281.99695,204.23108,46.23406,1.2624651,16.779852,71.18514,962.9726
Albania,2019,50.076775,63.12642,245.16402,37.98344,37.98344,211.69316,84.11543,45.07607,41.430138,46.749615,74.084145,61.53257,664.8745,39.477673,298.8369,228.63779,46.93888,1.3248879,18.847277,66.84208,940.5508
Albania,2020,50.491062,57.488735,245.23802,41.576763,16.331234,227.60907,82.40485,42.72474,34.189774,53.445858,65.614426,61.920925,631.07837,43.153984,306.52008,238.81934,51.918545,1.5971866,15.592534,48.035385,959.5098
Albania,2021,50.260124,49.799297,216.16762,41.945213,16.459515,216.85887,84.62174,42.125538,34.832462,48.627197,67.00014,65.627686,618.65936,45.431465,310.8975,245.92097,47.03434,1.7431257,16.469534,42.926975,1012.6459
Albania,2022,59.951283,76.14536,253.84804,45.01372,16.586119,246.7311,89.223274,46.83317,35.755653,86.11714,76.41677,59.468777,612.91235,55.25691,321.3988,252.81267,49.326115,1.9300212,21.82331,57.820217,858.8192
Algeria,2015,7.2032323,14.080392,514.56177,17.00516,8.052996,285.3725,118.472916,46.14416,0.02964293,29.168644,28.338642,30.26543,267.72507,19.73231,239.97928,148.8569,66.24207,85.52973,134.24295,25.058157,1259.6862
Algeria,2016,7.267872,14.654242,575.2086,16.747704,7.7319884,286.91306,118.16217,46.6388,0.01974965,26.938526,27.649513,29.871347,278.06522,17.784561,235.38622,152.54631,61.87566,84.33102,124.79805,24.509317,1233.8002
Algeria,2017,7.0848083,12.373747,556.1871,15.896417,7.982744,286.096,118.14264,46.426216,0.019734843,25.625692,25.52702,24.747494,272.58752,15.985224,230.65097,148.46523,63.585667,69.65412,119.168846,25.004045,1243.0879
Algeria,2018,7.0034575,14.174603,482.97223,17.991982,8.256188,285.27744,118.31897,45.94663,0.09864025,25.044758,25.34068,23.21005,247.02477,12.921872,224.00214,159.82678,65.615486,103.838585,117.81591,24.06822,1303.452
Algeria,2019,5.977538,13.29657,513.0523,21.325806,7.733317,293.4419,114.96404,47.6033,0.16768672,24.137022,26.573414,23.407093,258.42496,16.581257,230.67773,175.351,59.874023,100.92767,122.963684,27.214567,1317.1002
Algeria,2020,4.617266,25.108852,532.9095,23.984133,6.1563544,296.28445,112.76785,47.61309,0.1479893,22.060272,21.2118,22.030674,260.2441,15.47968,226.24605,164.81075,53.236683,86.66253,138.2812,26.322363,1341.8092
Algeria,2021,6.1488447,28.020176,524.4777,21.338367,5.872492,299.70435,111.577354,47.88795,0.06908814,22.966873,19.640772,21.456802,242.27237,15.011867,221.08205,158.13289,61.557533,74.90141,124.99032,28.868973,1387.8229
Algeria,2022,5.5293036,29.492912,513.0601,22.275194,5.776148,286.7833,106.15276,47.512516,0.019747512,22.847874,18.888496,21.55441,253.77528,16.429932,219.26653,160.38931,61.355526,83.39375,124.192116,37.30305,1363.477
Angola,2015,91.33248,11.208033,288.13235,48.088654,41.315887,128.65262,730.3302,3.3064694,52.97344,36.28126,27.131031,1.4984001,27.870241,0.4395307,120.811005,19.908743,75.619255,0,378.95535,137.06366,219.81529
Angola,2016,81.301155,11.129208,293.895,48.223236,36.85426,125.438354,756.0768,3.2268708,48.40306,32.997997,23.876844,0.4096028,23.307398,0.4195931,119.84378,17.892649,65.656334,0,372.76852,137.12701,205.39082
Angola,2017,80.63017,11.140352,299.57056,52.33468,34.809856,120.245865,725.49176,3.127292,52.0749,39.475815,23.699476,0.29974043,23.19991,0.42962795,121.29496,18.743769,66.68225,0,380.93015,127.20984,237.03474
Angola,2018,76.92202,12.210796,279.2695,50.25212,28.408587,125.585335,753.37213,3.07768,48.563393,45.215916,21.70364,0.2498117,23.062616,0.3996987,119.42997,17.396887,69.10791,0,387.53787,126.37474,231.09581
Angola,2019,79.41602,9.613465,283.14755,42.661003,27.941008,140.08478,773.1245,3.0978942,48.01736,36.565147,22.46473,0.24983019,12.481516,0.4197147,112.74337,15.819247,68.573395,0,391.99356,149.59831,180.98698
Angola,2020,69.05329,7.794728,266.77954,46.428593,27.041708,123.65636,803.2167,2.9080331,42.191463,31.258856,20.356232,0.25982425,17.757988,0.66954714,115.97156,15.439556,64.11663,0,382.21146,141.11455,190.1114
Angola,2021,72.37998,8.762733,242.8686,46.231663,26.198275,116.62329,819.7602,2.79768,51.45733,32.87274,19.094166,4.1765366,16.636204,0.489594,129.46265,35.79032,68.39328,0,390.41623,129.23283,164.33372
Angola,2022,74.543655,8.698757,249.43762,46.250225,25.38719,95.79619,861.77625,2.806373,54.22991,39.56886,18.935526,6.2718945,17.617231,1.0586318,132.03935,36.31307,60.541756,0,408.64188,129.20302,138.05157
Antigua and Barbuda,2015,119.66236,153.32684,224.59087,31.329597,95.931175,243.50133,42.79263,9.158348,49.59597,250.56635,45.499878,13.183995,178.29591,4.2470574,198.67575,60.28407,21.889456,0.07044882,13.355085,92.19739,479.57535
Antigua and Barbuda,2016,124.40684,141.43549,254.69464,28.226677,92.685814,261.7538,45.738693,8.469009,56.100895,176.55016,41.327965,9.345114,177.76865,3.63533,201.4436,53.140266,14.823285,0.040280662,14.793074,103.14871,504.52542
Antigua and Barbuda,2017,116.47562,121.54372,233.56586,28.987919,101.03957,252.25636,45.622974,8.191581,55.074024,261.72757,45.834568,9.833928,169.88715,3.8993132,213.78716,68.49492,22.277473,0.07053022,16.95748,96.46519,470.73883
Antigua and Barbuda,2018,128.70079,125.81747,243.9528,37.291573,101.76294,238.70033,45.88103,6.936091,48.421577,253.84277,44.237743,10.585604,166.89969,4.9802747,213.70822,71.06469,29.56912,0.2217936,13.771367,99.95835,499.3078
